牛宴（体育西横街店）,天河区体育西横街36号,4,48
淼鑫猪肚鸡（石牌东路店）,天河区石牌东路朝阳北街25号（石牌肉菜市场对面）,3.7,59
Pizza Marzano玛尚诺（广州天汇广场店）,天河区珠江新城兴民路222号天汇广场4层414号,4.3,123
波将军正宗桂林米粉（岗贝店）,白云区岗贝路130号A1铺,4,13
蒙肥羊（岗顶店）,天河区天河路岗顶百脑汇6楼,3.7,57
哈根达斯（广州前进店）,海珠区江湾路283号万国广场1313B1320号,4.1,76
花开园韩国烧烤（南大路店）,番禺区南大路百世家居市场2楼B41号,3,94
仙踪林（丽影广场店）,海珠区新港中路352号（丽影广场C区负二层，地铁C出口）,3.4,48
火垂火烧鸟居酒屋（珠江新城三号店）,天河区珠江新城兴盛路17号首层G23铺（珠江新城兴盛路酒吧风情街）,4,101
荔枝楼酒家（车陂店）,天河区中山大道中152-178号高地大厦2楼(近地铁车陂站D出口),4,44
鼎盛蜀坊（市桥店）,番禺区光明北路223号喜悦天地3楼305（市桥地铁站B、C出口）,3.6,59
得意铁板烧料理,番禺区迎宾路万豪商业街131号（银矿湾旁）,3.5,0
淼福猪肚鸡（龙洞店）,天河区龙洞步行街龙洞牌坊内进10米（金牛旁）,3.5,49
金多多海鲜肥牛自助烤肉火锅,白云区广州大道北1520号天州广场2楼（京溪南方医院地铁站D出口上盖）,3,53
炎王麻辣豚骨拉面（蓝天店）,海珠区江南大道中232号蓝天商场首层129铺,4,54
牛香荟秘制牛杂,黄埔区港湾路大沙地港湾西港湾大院（地铁站五号线大沙地站C出口正对面，中国建设银行侧面，遇见麽麽茶隔壁）,3.2,46
黄记煌三汁焖锅（北京路天河城店）,越秀区北京路238号名盛广场七层,3,82
蚝厨·海鲜·烧烤·夜宵（长隆店）,番禺区汉溪大道奥园城市天地7区三栋24号铺（四栋正门，奥美家公寓斜对面）,4.3,65
畅扬老鸭粉丝汤（时尚天河商业广场店）,天河区天河路时尚天河西区美食美刻XC003号铺,3.1,16
别猫家炭火烤鱼（惠润广场店）,黄埔区丰乐南路446号（惠润广场3层）,3.9,55
杠上开花串串火锅,海珠区南泰路江燕路59号（必胜客拐角）,4.3,79
